Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
sun.util.logging.PlatformLogger$LoggerProxy,LoggerProxy,sun.util.logging.PlatformLogger$LoggerProxy,10,2,1,3,0,0,0,0,3,6,0,3,0,0,3,0,0,6,623,16,697
java.util.Hashtable$ValueCollection,ValueCollection,java.util.Hashtable$ValueCollection,4,2,4,0,0,0,0,0,1,1,0,0,0,0,1,1,2,4,620,5,3071
java.awt.image.WritableRenderedImage,WritableRenderedImage,java.awt.image.WritableRenderedImage,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,2,2,4,1177,9,670
java.awt.HeadlessException,HeadlessException,java.awt.HeadlessException,1,2,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,620,2,674
java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock,ReadLock,java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock,7,1,7,0,0,0,0,0,2,2,0,2,0,0,2,3,5,9,630,11,8
javax.xml.transform.Source,Source,javax.xml.transform.Source,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,620,2,14
javax.swing.AbstractButton$ButtonChangeListener,ButtonChangeListener,javax.swing.AbstractButton$ButtonChangeListener,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,3,5,1293,4,68
java.security.cert.CertPathValidator,CertPathValidator,java.security.cert.CertPathValidator,7,1,7,0,4,0,0,0,2,5,0,5,0,0,2,2,5,13,628,12,2
java.awt.Dialog$AccessibleAWTDialog,AccessibleAWTDialog,java.awt.Dialog$AccessibleAWTDialog,2,1,2,0,0,0,0,0,2,2,0,1,0,0,2,0,0,4,1177,4,671
sun.text.normalizer.UnicodeSet$Filter,Filter,sun.text.normalizer.UnicodeSet$Filter,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,631,1,48
javax.swing.ActionPropertyChangeListener$OwnedWeakReference,OwnedWeakReference,javax.swing.ActionPropertyChangeListener$OwnedWeakReference,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1293,2,69
sun.awt.RequestFocusController,RequestFocusController,sun.awt.RequestFocusController,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1177,1,674
java.net.FileNameMap,FileNameMap,java.net.FileNameMap,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,620,1,3073
java.awt.datatransfer.UnsupportedFlavorException,UnsupportedFlavorException,java.awt.datatransfer.UnsupportedFlavorException,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,673
