Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
org.w3c.dom.DocumentType,DocumentType,org.w3c.dom.DocumentType,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,2,2,3,640,7,10
java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator,DescendingSubMapEntryIterator,java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator,3,1,3,0,0,0,0,0,1,1,0,0,0,0,1,1,3,4,645,4,34
javax.security.auth.Subject$ClassSet,ClassSet,javax.security.auth.Subject$ClassSet,4,1,3,1,0,0,0,0,1,4,0,3,0,0,1,2,3,6,627,8,2
sun.text.normalizer.UCharacterProperty,UCharacterProperty,sun.text.normalizer.UCharacterProperty,9,1,9,0,4,0,0,0,11,22,7,10,0,0,11,0,0,7,638,31,21
java.awt.PageAttributes,PageAttributes,java.awt.PageAttributes,24,3,24,0,0,0,0,0,0,6,0,6,0,0,0,1,1,9,630,31,469
sun.util.locale.LanguageTag,LanguageTag,sun.util.locale.LanguageTag,38,1,31,7,23,0,0,0,5,12,4,8,0,0,5,2,2,9,620,50,2418
java.lang.reflect.Field,Field,java.lang.reflect.Field,42,1,31,9,1,0,0,0,0,12,0,12,0,0,0,6,6,14,620,55,2442
java.net.URI,URI,java.net.URI,103,6,30,38,66,0,0,0,47,64,0,62,0,0,47,2,2,14,620,169,2438
sun.rmi.server.UnicastRef,UnicastRef,sun.rmi.server.UnicastRef,16,2,11,1,2,0,0,0,2,3,2,0,1,0,2,5,7,16,707,20,6
java.net.URLClassLoader,URLClassLoader,java.net.URLClassLoader,17,5,7,3,5,0,0,0,2,3,0,3,0,0,2,2,6,20,632,21,11
java.util.Collections,Collections,java.util.Collections,69,1,55,8,69,0,0,0,11,12,3,9,0,0,11,13,13,52,663,81,48
java.lang.Throwable$WrappedPrintWriter,WrappedPrintWriter,java.lang.Throwable$WrappedPrintWriter,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,4,620,3,2411
java.io.ObjectStreamClass,ObjectStreamClass,java.io.ObjectStreamClass,94,2,8,22,48,0,2,0,4,30,1,29,0,0,4,2,2,28,620,125,2417
java.util.logging.Level,Level,java.util.logging.Level,9,2,8,1,1,0,0,0,13,15,9,6,0,0,13,1,1,6,621,25,48
java.lang.ThreadLocal$ThreadLocalMap$Entry,Entry,java.lang.ThreadLocal$ThreadLocalMap$Entry,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,620,1,2415
java.awt.MenuBar,MenuBar,java.awt.MenuBar,22,1,14,3,1,0,1,0,2,6,0,4,0,0,2,3,5,17,1177,30,463
java.lang.ConditionalSpecialCasing$Entry,Entry,java.lang.ConditionalSpecialCasing$Entry,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,622,10,2
java.sql.SQLPermission,SQLPermission,java.sql.SQLPermission,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,620,1,1
java.util.concurrent.Executors$RunnableAdapter,RunnableAdapter,java.util.concurrent.Executors$RunnableAdapter,1,1,1,0,0,0,0,0,2,2,0,0,0,0,2,2,2,4,636,4,15
java.lang.String,String,java.lang.String,72,16,66,3,16,0,1,0,6,7,1,6,0,0,6,4,5,12,620,82,2785
java.awt.image.LookupTable,LookupTable,java.awt.image.LookupTable,3,1,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,620,6,4
java.beans.beancontext.BeanContextServicesSupport$BCSSServiceProvider,BCSSServiceProvider,java.beans.beancontext.BeanContextServicesSupport$BCSSServiceProvider,1,1,0,0,0,0,0,0,1,2,0,1,1,0,1,2,2,4,657,4,6
java.net.ProtocolException,ProtocolException,java.net.ProtocolException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,1
java.util.regex.Pattern$TreeInfo,TreeInfo,java.util.regex.Pattern$TreeInfo,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,620,5,2412
sun.rmi.transport.WeakRef,WeakRef,sun.rmi.transport.WeakRef,5,2,4,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,620,7,9
sun.awt.datatransfer.DataTransferer$DataFlavorComparator,DataFlavorComparator,sun.awt.datatransfer.DataTransferer$DataFlavorComparator,1,4,1,0,0,0,0,0,12,12,0,11,1,0,12,1,3,7,1177,13,463
java.lang.management.ClassLoadingMXBean,ClassLoadingMXBean,java.lang.management.ClassLoadingMXBean,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,662,6,2
javax.swing.event.MenuDragMouseListener,MenuDragMouseListener,javax.swing.event.MenuDragMouseListener,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,1,2,1182,5,16
java.sql.PreparedStatement,PreparedStatement,java.sql.PreparedStatement,55,0,55,0,0,55,0,0,0,0,0,0,0,0,0,11,14,22,649,56,13
java.lang.Shutdown$Lock,Lock,java.lang.Shutdown$Lock,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,623,0,3
java.nio.channels.FileChannel$MapMode,MapMode,java.nio.channels.FileChannel$MapMode,1,1,1,0,0,0,0,0,4,4,3,1,0,0,4,0,1,4,620,5,2423
sun.font.LayoutPathImpl$SegmentPath,SegmentPath,sun.font.LayoutPathImpl$SegmentPath,14,1,8,5,2,0,0,0,0,2,0,1,0,0,0,1,3,11,657,16,18
java.sql.Clob,Clob,java.sql.Clob,13,0,13,0,0,13,0,0,0,0,0,0,0,0,0,1,5,7,624,13,15
java.sql.Array,Array,java.sql.Array,11,0,11,0,0,11,0,0,0,0,0,0,0,0,0,2,2,5,649,11,13
javax.swing.ComponentInputMap,ComponentInputMap,javax.swing.ComponentInputMap,5,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1293,6,7
sun.java2d.loops.MaskBlit$General,General,sun.java2d.loops.MaskBlit$General,2,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,4,9,1177,9,472
java.lang.reflect.Member,Member,java.lang.reflect.Member,4,0,4,0,0,4,0,0,2,2,2,0,0,0,2,0,0,2,620,6,2428
java.util.GregorianCalendar,GregorianCalendar,java.util.GregorianCalendar,47,8,21,24,2,0,0,0,20,32,2,20,0,0,20,0,4,12,623,79,1
sun.awt.image.OffScreenImageSource,OffScreenImageSource,sun.awt.image.OffScreenImageSource,7,2,5,2,0,0,0,0,0,5,0,1,0,0,0,2,2,5,1177,13,465
sun.util.locale.InternalLocaleBuilder,InternalLocaleBuilder,sun.util.locale.InternalLocaleBuilder,19,1,15,3,1,0,0,0,2,9,0,8,0,0,2,3,3,13,620,28,2436
java.nio.channels.MulticastChannel,MulticastChannel,java.nio.channels.MulticastChannel,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,5,624,4,52
java.awt.dnd.DragSourceMotionListener,DragSourceMotionListener,java.awt.dnd.DragSourceMotionListener,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1177,2,471
java.util.concurrent.Executors,Executors,java.util.concurrent.Executors,20,1,20,0,20,0,0,0,0,0,0,0,0,0,0,7,7,16,636,20,15
sun.font.LayoutPathImpl$SegmentPathBuilder,SegmentPathBuilder,sun.font.LayoutPathImpl$SegmentPathBuilder,7,1,6,1,0,0,0,0,1,7,0,6,0,0,1,0,1,4,657,14,15
java.util.ServiceConfigurationError,ServiceConfigurationError,java.util.ServiceConfigurationError,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,4
org.w3c.dom.Comment,Comment,org.w3c.dom.Comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,640,1,11
java.nio.ByteBufferAsDoubleBufferL,ByteBufferAsDoubleBufferL,java.nio.ByteBufferAsDoubleBufferL,12,2,11,0,0,0,0,0,3,3,0,0,2,0,3,0,2,3,620,15,1
javax.swing.JRootPane,JRootPane,javax.swing.JRootPane,33,1,24,0,0,0,0,0,12,21,9,4,7,0,12,2,7,17,1293,55,17
java.awt.SystemColor,SystemColor,java.awt.SystemColor,4,1,1,3,1,0,0,0,54,57,53,4,0,0,54,1,2,6,1178,62,1
sun.text.normalizer.Trie,Trie,sun.text.normalizer.Trie,11,2,0,1,0,3,0,0,14,20,0,3,17,0,14,1,2,6,624,31,26
java.nio.charset.CharsetEncoder,CharsetEncoder,java.nio.charset.CharsetEncoder,24,2,16,2,0,1,0,0,8,14,0,13,0,0,8,1,5,10,620,38,2461
org.w3c.dom.DOMConfiguration,DOMConfiguration,org.w3c.dom.DOMConfiguration,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,1,4,622,4,13
java.awt.dnd.DropTarget$DropTargetAutoScroller,DropTargetAutoScroller,java.awt.dnd.DropTarget$DropTargetAutoScroller,4,1,1,1,0,0,0,0,0,8,0,8,0,0,0,2,3,9,1177,13,476
java.security.CodeSource,CodeSource,java.security.CodeSource,12,2,7,5,0,0,0,0,1,6,0,6,0,0,1,1,1,11,620,19,2439
java.awt.Event,Event,java.awt.Event,11,3,5,1,2,0,1,0,72,84,74,10,0,0,72,1,1,5,1177,96,476
java.awt.GraphicsConfiguration,GraphicsConfiguration,java.awt.GraphicsConfiguration,15,1,15,0,0,6,0,0,1,3,0,2,0,0,1,0,3,11,1177,18,488
java.lang.StackTraceElement,StackTraceElement,java.lang.StackTraceElement,8,1,8,0,0,0,0,0,1,5,0,5,0,0,1,1,1,3,620,14,2436
java.util.TreeMap$KeySet,KeySet,java.util.TreeMap$KeySet,23,1,23,0,0,0,0,0,1,1,0,1,0,0,1,5,6,8,645,25,34
java.io.FilterOutputStream,FilterOutputStream,java.io.FilterOutputStream,5,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,620,6,2436
java.util.Locale$Builder,Builder,java.util.Locale$Builder,13,1,13,0,0,0,0,0,1,1,0,1,0,0,1,0,0,5,620,14,2442
java.util.Calendar$CalendarAccessControlContext,CalendarAccessControlContext,java.util.Calendar$CalendarAccessControlContext,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,3,620,2,2435
java.util.Random,Random,java.util.Random,15,2,9,5,2,0,0,0,9,11,0,10,0,0,9,1,1,8,620,27,2441
java.util.Arrays,Arrays,java.util.Arrays,124,1,105,18,124,0,0,0,2,2,0,1,0,0,2,3,3,9,623,126,3
java.math.MathContext,MathContext,java.math.MathContext,6,3,5,1,0,0,0,0,10,10,4,4,0,0,10,1,1,8,620,17,2435
java.awt.image.ImageProducer,ImageProducer,java.awt.image.ImageProducer,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1177,5,473
java.nio.channels.Channels$WritableByteChannelImpl,WritableByteChannelImpl,java.nio.channels.Channels$WritableByteChannelImpl,2,1,1,0,0,0,0,0,1,5,0,4,0,0,1,1,4,7,624,8,4
javax.swing.event.MenuListener,MenuListener,javax.swing.event.MenuListener,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,623,4,17
sun.java2d.loops.FillSpans$TraceFillSpans,TraceFillSpans,sun.java2d.loops.FillSpans$TraceFillSpans,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,1177,3,474
java.beans.XMLEncoder$1,,java.beans.XMLEncoder$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,631,0,3
java.beans.IntrospectionException,IntrospectionException,java.beans.IntrospectionException,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,45
javax.swing.ButtonGroup,ButtonGroup,javax.swing.ButtonGroup,8,1,8,0,0,0,0,0,0,2,0,0,1,0,0,3,4,6,1293,11,23
sun.java2d.StateTrackableDelegate$2,,sun.java2d.StateTrackableDelegate$2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,625,1,490
java.awt.peer.MenuItemPeer,MenuItemPeer,java.awt.peer.MenuItemPeer,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1177,3,478
java.security.Provider$ServiceKey,ServiceKey,java.security.Provider$ServiceKey,3,2,2,0,0,0,0,0,3,3,0,3,0,0,3,0,1,3,620,6,2448
java.security.KeyManagementException,KeyManagementException,java.security.KeyManagementException,0,4,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,5
sun.font.Decoration$DecorationImpl,DecorationImpl,sun.font.Decoration$DecorationImpl,9,1,5,3,1,0,0,0,0,6,0,6,0,0,0,3,6,10,1184,15,13
java.security.cert.CertPathBuilderResult,CertPathBuilderResult,java.security.cert.CertPathBuilderResult,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,620,3,4
java.text.DecimalFormatSymbols$DecimalFormatSymbolsGetter,DecimalFormatSymbolsGetter,java.text.DecimalFormatSymbols$DecimalFormatSymbolsGetter,3,1,2,0,1,0,0,0,2,2,0,1,0,0,2,1,2,7,627,6,4
java.util.NoSuchElementException,NoSuchElementException,java.util.NoSuchElementException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,2
java.awt.geom.CubicCurve2D$Double,Double,java.awt.geom.CubicCurve2D$Double,14,2,14,0,0,0,0,0,1,9,8,1,0,0,1,1,4,6,641,24,4
sun.font.StrikeMetrics,StrikeMetrics,sun.font.StrikeMetrics,7,2,5,0,0,0,0,0,0,10,10,0,0,0,0,0,0,4,639,17,480
java.util.ArrayList$ListItr,ListItr,java.util.ArrayList$ListItr,6,1,6,0,0,0,0,0,1,1,0,0,0,0,1,1,1,4,620,8,2450
java.util.concurrent.PriorityBlockingQueue,PriorityBlockingQueue,java.util.concurrent.PriorityBlockingQueue,33,4,20,12,5,0,0,0,7,12,0,12,0,0,7,6,8,20,631,47,2
java.text.AttributedString,AttributedString,java.text.AttributedString,25,6,6,13,7,0,0,0,1,7,0,1,0,0,1,4,4,11,623,32,3
java.util.LinkedList$Node,Node,java.util.LinkedList$Node,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,620,3,2453
sun.nio.cs.StreamDecoder,StreamDecoder,sun.nio.cs.StreamDecoder,19,3,9,6,5,0,0,0,3,12,0,11,0,0,3,1,7,13,623,31,3
java.lang.ProcessBuilder,ProcessBuilder,java.lang.ProcessBuilder,21,2,19,1,0,0,0,0,1,6,0,5,0,0,1,2,4,11,627,27,5
java.util.IdentityHashMap$ValueIterator,ValueIterator,java.util.IdentityHashMap$ValueIterator,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,630,2,11
java.awt.print.PageFormat,PageFormat,java.awt.print.PageFormat,12,1,12,0,0,0,0,0,3,5,3,2,0,0,3,1,1,4,639,18,7
java.beans.java_util_Collections$UnmodifiableCollection_PersistenceDelegate,UnmodifiableCollection_PersistenceDelegate,java.beans.java_util_Collections$UnmodifiableCollection_PersistenceDelegate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,655,1,28
sun.rmi.runtime.Log,Log,sun.rmi.runtime.Log,9,1,7,1,4,5,0,0,3,3,2,1,0,0,3,1,3,15,657,12,20
sun.java2d.pipe.AAShapePipe,AAShapePipe,sun.java2d.pipe.AAShapePipe,9,1,8,1,3,0,0,0,0,3,0,1,0,0,0,5,7,10,1177,14,476
sun.java2d.pipe.SpanIterator,SpanIterator,sun.java2d.pipe.SpanIterator,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,487
java.rmi.server.RemoteRef,RemoteRef,java.rmi.server.RemoteRef,8,0,8,0,0,8,0,0,2,2,2,0,0,0,2,5,6,11,626,11,16
java.awt.event.AWTEventListener,AWTEventListener,java.awt.event.AWTEventListener,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1177,2,480
java.security.KeyStore$Builder,Builder,java.security.KeyStore$Builder,5,1,5,0,3,2,0,0,1,1,0,0,0,0,1,1,3,9,643,6,18
java.awt.Label$AccessibleAWTLabel,AccessibleAWTLabel,java.awt.Label$AccessibleAWTLabel,2,1,2,0,0,0,0,0,2,2,0,1,0,0,2,0,1,4,1177,4,480
java.net.PasswordAuthentication,PasswordAuthentication,java.net.PasswordAuthentication,2,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,620,4,3
sun.rmi.runtime.Log$LoggerLogFactory,LoggerLogFactory,sun.rmi.runtime.Log$LoggerLogFactory,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,657,2,14
java.util.regex.Pattern$Dollar,Dollar,java.util.regex.Pattern$Dollar,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,620,3,2452
sun.misc.Cleaner,Cleaner,sun.misc.Cleaner,4,1,2,2,3,0,0,0,2,5,0,5,0,0,2,1,1,5,622,9,30
java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter,HoldCounter,java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,630,2,8
java.util.logging.LogManager$RootLogger,RootLogger,java.util.logging.LogManager$RootLogger,4,2,4,0,0,0,0,0,1,1,0,0,0,0,1,0,1,4,646,5,43
java.util.ResourceBundle$SingleFormatControl,SingleFormatControl,java.util.ResourceBundle$SingleFormatControl,3,1,1,0,2,0,0,0,3,3,0,3,0,0,3,1,2,4,620,6,2462
java.nio.DirectIntBufferS,DirectIntBufferS,java.nio.DirectIntBufferS,18,1,17,1,0,0,0,0,4,5,0,1,3,0,4,1,2,6,623,24,1
javax.management.BadStringOperationException,BadStringOperationException,javax.management.BadStringOperationException,1,1,1,0,0,0,0,0,1,2,0,2,0,0,1,0,0,2,620,3,18
java.awt.dnd.DropTargetDropEvent,DropTargetDropEvent,java.awt.dnd.DropTargetDropEvent,11,2,11,0,0,0,0,0,2,6,0,6,0,0,2,2,2,5,1177,17,493
sun.misc.JavaSecurityAccess,JavaSecurityAccess,sun.misc.JavaSecurityAccess,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,620,2,490
java.security.SecureRandom,SecureRandom,java.security.SecureRandom,15,4,10,3,6,0,0,0,1,10,0,9,0,0,1,0,3,8,620,25,2466
java.nio.CharBuffer,CharBuffer,java.nio.CharBuffer,45,2,42,2,7,12,0,0,2,3,0,0,0,0,2,4,6,10,620,52,2487
java.rmi.Naming$ParsedNamingURL,ParsedNamingURL,java.rmi.Naming$ParsedNamingURL,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,628,3,2
java.security.KeyPair,KeyPair,java.security.KeyPair,2,1,2,0,0,0,0,0,1,3,0,3,0,0,1,3,3,4,621,6,5
java.util.zip.ZipEntry,ZipEntry,java.util.zip.ZipEntry,21,3,19,2,2,0,0,0,2,11,2,0,0,0,2,2,2,4,620,34,2459
java.nio.channels.AsynchronousCloseException,AsynchronousCloseException,java.nio.channels.AsynchronousCloseException,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,2461
javax.crypto.ExemptionMechanismSpi,ExemptionMechanismSpi,javax.crypto.ExemptionMechanismSpi,6,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,8,627,6,6
sun.java2d.loops.DrawGlyphList,DrawGlyphList,sun.java2d.loops.DrawGlyphList,4,2,4,0,1,0,1,0,2,2,2,0,0,0,2,0,2,11,1177,6,483
java.rmi.Naming,Naming,java.rmi.Naming,8,1,5,3,8,0,0,0,0,0,0,0,0,0,0,2,2,10,628,8,2
java.io.FilterInputStream,FilterInputStream,java.io.FilterInputStream,9,1,9,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,620,10,2467
sun.misc.Resource,Resource,sun.misc.Resource,11,1,10,1,0,5,0,0,0,1,0,1,0,0,0,0,2,7,620,12,2465
java.util.concurrent.ExecutionException,ExecutionException,java.util.concurrent.ExecutionException,0,4,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,2467
java.security.cert.PKIXCertPathChecker,PKIXCertPathChecker,java.security.cert.PKIXCertPathChecker,5,1,5,0,0,4,0,0,0,0,0,0,0,0,0,3,4,6,623,6,2
java.util.StringTokenizer,StringTokenizer,java.util.StringTokenizer,10,3,6,4,0,0,0,0,0,10,0,10,0,0,0,1,1,3,620,21,5
sun.reflect.generics.tree.SimpleClassTypeSignature,SimpleClassTypeSignature,sun.reflect.generics.tree.SimpleClassTypeSignature,5,1,5,0,1,0,0,0,0,3,0,3,0,0,0,2,2,5,620,9,2477
java.rmi.activation.ActivationGroupDesc,ActivationGroupDesc,java.rmi.activation.ActivationGroupDesc,7,2,7,0,0,0,0,0,1,6,0,6,0,0,1,1,1,6,627,14,10
java.lang.ClassLoader$NativeLibrary,NativeLibrary,java.lang.ClassLoader$NativeLibrary,6,1,0,0,2,0,3,0,0,4,0,2,0,0,0,0,1,5,620,10,2470
sun.awt.image.SurfaceManager$FlushableCacheData,FlushableCacheData,sun.awt.image.SurfaceManager$FlushableCacheData,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1177,1,480
java.util.Formatter$DateTime,DateTime,java.util.Formatter$DateTime,1,1,0,0,1,0,0,0,31,31,0,0,0,0,31,0,0,2,620,32,2468
java.awt.font.TextAttribute,TextAttribute,java.awt.font.TextAttribute,1,1,0,0,0,0,0,0,61,61,59,1,0,0,61,1,1,8,624,62,481
java.util.concurrent.ConcurrentLinkedQueue$Itr,Itr,java.util.concurrent.ConcurrentLinkedQueue$Itr,4,1,3,1,0,0,0,0,1,4,0,3,0,0,1,1,1,4,624,9,3
javax.management.InstanceAlreadyExistsException,InstanceAlreadyExistsException,javax.management.InstanceAlreadyExistsException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,622,1,15
java.text.DateFormatSymbols,DateFormatSymbols,java.text.DateFormatSymbols,33,2,22,8,7,0,0,0,26,36,0,1,0,0,26,3,3,10,620,71,2471
java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet,UnmodifiableEntrySet,java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet,6,1,6,0,0,0,0,0,1,1,0,1,0,0,1,2,2,6,663,7,46
java.util.concurrent.ThreadFactory,ThreadFactory,java.util.concurrent.ThreadFactory,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,620,1,26
java.io.Flushable,Flushable,java.io.Flushable,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,620,1,2476
java.util.LinkedList,LinkedList,java.util.LinkedList,54,2,39,11,0,0,0,0,1,4,0,1,0,0,1,7,8,19,620,62,2479
java.awt.KeyboardFocusManager$LightweightFocusRequest,LightweightFocusRequest,java.awt.KeyboardFocusManager$LightweightFocusRequest,1,1,1,0,0,0,0,0,3,3,0,0,0,0,3,0,2,5,1190,4,9
java.util.zip.ZipOutputStream$XEntry,XEntry,java.util.zip.ZipOutputStream$XEntry,0,1,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,3,627,2,6
java.io.FileDescriptor,FileDescriptor,java.io.FileDescriptor,7,2,2,1,3,0,2,0,3,5,3,2,0,0,3,0,0,4,620,12,2485
java.util.concurrent.FutureTask$Sync,Sync,java.util.concurrent.FutureTask$Sync,12,1,0,1,0,0,0,0,7,10,0,9,0,0,7,1,2,10,623,22,8
java.net.SocketOptions,SocketOptions,java.net.SocketOptions,2,0,2,0,0,2,0,0,14,14,14,0,0,0,14,0,0,2,620,16,54
java.util.concurrent.ExecutorCompletionService,ExecutorCompletionService,java.util.concurrent.ExecutorCompletionService,8,2,5,2,1,0,0,0,3,3,0,3,0,0,3,7,9,13,628,12,2
java.rmi.MarshalledObject,MarshalledObject,java.rmi.MarshalledObject,3,1,3,0,0,0,0,0,1,4,0,4,0,0,1,1,1,6,625,8,15
java.util.HashMap$1,,java.util.HashMap$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,620,0,2475
java.awt.event.WindowFocusListener,WindowFocusListener,java.awt.event.WindowFocusListener,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1177,3,495
javax.management.JMException,JMException,javax.management.JMException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,30
java.awt.geom.Point2D$Double,Double,java.awt.geom.Point2D$Double,4,2,4,0,0,0,0,0,1,3,2,1,0,0,1,1,2,5,623,8,552
javax.swing.ArrayTable,ArrayTable,javax.swing.ArrayTable,12,1,8,3,1,0,0,0,1,2,0,2,0,0,1,1,1,5,621,15,23
javax.management.MBeanException,MBeanException,javax.management.MBeanException,2,2,2,0,0,0,0,0,1,2,0,2,0,0,1,0,0,3,621,4,16
java.awt.ImageCapabilities,ImageCapabilities,java.awt.ImageCapabilities,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,620,5,486
javax.swing.plaf.SeparatorUI,SeparatorUI,javax.swing.plaf.SeparatorUI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1293,0,16
java.lang.ThreadGroup,ThreadGroup,java.lang.ThreadGroup,36,4,24,7,1,0,0,0,1,11,0,1,0,0,1,1,1,8,620,48,2501
java.io.BufferedWriter,BufferedWriter,java.io.BufferedWriter,9,2,6,2,0,0,0,0,0,6,0,6,0,0,0,0,1,3,620,15,2480
java.awt.font.TextLayout,TextLayout,java.awt.font.TextLayout,72,4,44,23,5,0,0,0,2,17,1,16,0,0,2,4,10,23,1235,90,4
sun.security.util.DerOutputStream,DerOutputStream,sun.security.util.DerOutputStream,34,2,30,4,0,0,0,0,0,2,0,2,0,0,0,2,3,15,635,37,21
javax.crypto.IllegalBlockSizeException,IllegalBlockSizeException,javax.crypto.IllegalBlockSizeException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,6
java.awt.geom.Arc2D$Double,Double,java.awt.geom.Arc2D$Double,13,4,10,2,0,0,0,0,1,7,6,1,0,0,1,1,3,9,641,21,3
java.security.KeyStore$Entry,Entry,java.security.KeyStore$Entry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,643,0,18
java.net.InetAddress$Cache$Type,Type,java.net.InetAddress$Cache$Type,2,1,2,0,2,0,0,0,3,3,2,1,0,0,3,0,1,4,620,5,2482
java.nio.channels.WritableByteChannel,WritableByteChannel,java.nio.channels.WritableByteChannel,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,620,2,2490
sun.util.LocaleServiceProviderPool,LocaleServiceProviderPool,sun.util.LocaleServiceProviderPool,18,1,7,8,8,0,0,0,0,8,0,8,0,0,0,4,6,13,620,26,2488
java.util.concurrent.atomic.AtomicStampedReference,AtomicStampedReference,java.util.concurrent.atomic.AtomicStampedReference,9,1,7,1,1,0,0,0,2,3,0,3,0,0,2,0,0,5,622,12,2
sun.reflect.generics.visitor.TypeTreeVisitor,TypeTreeVisitor,sun.reflect.generics.visitor.TypeTreeVisitor,17,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17,620,17,2506
java.io.PipedReader,PipedReader,java.io.PipedReader,9,4,5,1,0,0,0,0,1,9,0,1,0,0,1,0,1,4,622,18,2
sun.util.resources.OpenListResourceBundle,OpenListResourceBundle,sun.util.resources.OpenListResourceBundle,8,1,4,1,0,1,0,0,0,1,0,1,0,0,0,3,5,8,620,9,2488
sun.awt.geom.Crossings,Crossings,sun.awt.geom.Crossings,14,1,14,0,2,2,0,0,1,8,1,1,0,0,1,1,2,6,624,22,490
java.security.cert.CertSelector,CertSelector,java.security.cert.CertSelector,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,620,3,7
