Id,Connections
java.lang.Class$MethodArray,9
java.net.URI$Parser,37
java.nio.file.DirectoryStream$Filter,37
sun.misc.JarIndex,32
java.security.MessageDigestSpi,37
java.util.Stack,30
java.nio.channels.ReadableByteChannel,40
sun.security.util.Debug,36
java.lang.ThreadLocal$1,30
java.io.ObjectStreamClass$ClassDataSlot,16
java.net.ContentHandlerFactory,13
sun.misc.URLClassPath$Loader,31
java.nio.ByteBuffer,55
java.util.regex.Pattern$Dollar,6
java.nio.charset.CharacterCodingException,10
java.nio.channels.ScatteringByteChannel,37
java.util.regex.Pattern$All,6
sun.reflect.LangReflectAccess,17
java.util.concurrent.ConcurrentMap,38
java.lang.ref.ReferenceQueue,37
java.util.regex.Pattern$Ques,6
java.io.NotActiveException,27
java.lang.reflect.Type,27
java.lang.Void,37
java.util.Locale$Cache,7
java.lang.String$1,6
java.lang.StringBuffer,57
java.lang.AbstractStringBuilder,30
sun.reflect.ConstantPool,8
sun.security.util.ManifestDigester$Entry,34
java.net.ContentHandler,14
sun.reflect.generics.tree.CharSignature,13
sun.reflect.ReflectionFactory,18
java.util.regex.MatchResult,9
java.util.regex.Pattern$Caret,6
java.lang.Thread,56
sun.reflect.generics.repository.ConstructorRepository,18
java.lang.ref.SoftReference,32
java.util.concurrent.ConcurrentHashMap$KeySet,30
java.io.File$TempDirectory,33
java.util.jar.JarEntry,34
java.nio.channels.FileChannel$MapMode,38
java.util.AbstractList$ListItr,36
sun.reflect.generics.tree.LongSignature,13
java.util.concurrent.ConcurrentHashMap$ValueIterator,30
java.util.regex.Pattern$SingleS,6
java.util.regex.Pattern$SliceS,6
java.util.regex.Pattern$Ctype,6
sun.util.locale.InternalLocaleBuilder$CaseInsensitiveString,9
java.security.DigestException,38
java.util.regex.Pattern$Script,6
sun.misc.Resource,33
java.net.URI,38
java.util.HashMap$Entry,16
java.util.Iterator,86
sun.reflect.generics.tree.TypeArgument,15
sun.nio.cs.StreamEncoder,6
sun.misc.URLClassPath$FileLoader,30
java.lang.reflect.AnnotatedElement,9
java.util.LinkedList$DescendingIterator,33
java.text.FieldPosition$Delegate,10
java.nio.CharBuffer,46
java.io.FileSystem,34
java.net.Proxy,14
java.io.SyncFailedException,39
java.nio.file.attribute.UserPrincipalLookupService,35
java.util.jar.JarVerifier,35
sun.reflect.generics.repository.MethodRepository,20
java.security.cert.CertPath$CertPathRep,22
java.io.ObjectInputStream$GetFieldImpl,26
java.security.Provider$1,22
java.security.cert.CertificateEncodingException,23
java.nio.file.attribute.BasicFileAttributes,36
